,Vlag,Provincie,Bevolking[1],Oppervlakte (land+water) in km²,Oppervlakte (land) in km²,inw./km²[2],Hoofdstad,Gemeente met de meeste inwoners
0,,Groningen,585866,2959.68,2323.94,252,Groningen,Groningen
1,,Friesland (Fryslân),649957,5748.77,3335.62,195,Leeuwarden,Leeuwarden
2,,Drenthe,493682,2680.39,2632.65,188,Assen,Emmen
3,,Overijssel,1162406,3420.74,3319.0,350,Zwolle,Enschede
4,,Flevoland,423021,2412.31,1411.63,300,Lelystad,Almere
5,,Gelderland,2085952,5136.31,4963.71,420,Arnhem,Nijmegen
6,,Utrecht,1354834,1560.05,1485.46,912,Utrecht,Utrecht
7,,Noord-Holland,2879527,4091.93,2664.82,1081,Haarlem,Amsterdam
8,,Zuid-Holland,3708696,3307.86,2700.07,1374,Den Haag,Rotterdam
9,,Zeeland,383488,2933.44,1782.12,215,Middelburg,Terneuzen
10,,Noord-Brabant,2562955,5082.06,4905.46,522,'s-Hertogenbosch,Eindhoven
11,,Limburg,1117201,2209.85,2146.61,520,Maastricht,Maastricht
